timestamp,symbol,timeframe,market_regime,selected_strategy,confidence_score,decision_action,risk_level,explanation,parameters
2026-07-24 19:58:20,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:07:28,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:09:17,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:11:16,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:36:25,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:38:58,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:40:00,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:43:09,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 20:51:19,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
2026-07-24 21:23:09,EURUSD,1H,High Volatility,BollingerBands,78.6,EXECUTE,Medium,"[STRATEGY_EXECUTED] Asset Context: EURUSD (1H). Classified Market Regime: 'High Volatility'. Risk Level Assigned: 'Medium'. Nominated BollingerBands as the primary trading model because its confidence score of 78.6 successfully exceeded the filter threshold of 65.0. Reasoning Matrix: Under 'High Volatility' conditions, the selection score represents a blend of historical Walk-Forward performance and structural regime compatibility coefficients. Leaderboard runs evaluated: [BollingerBands: 78.6, TrendPullback: 76.4, RSI: 73.0, EMA: 71.3, Breakout: 71.1, MACD: 67.6, SupportResistance: 61.4].","{'period': 20, 'std_dev': 2.0}"
